"","x"
"68","My delivery today was an extreme disappointment. As soon as I opened the door and greeted my delivery driver, she immediately said, ""You forgot to tip,"" in a very rude manner. My plan was to give her a cash tip instead of tipping on my card as usual. I go back into my house giving her a tip, and she proceeds to snatch it out of my hand. I'm very disappointed and completely turned off by her attitude, for I don't HAVE to tip her. I work in the restaurant industry myself, and I don't appreciate non-tippers; but this woman basically demanded her tip as if she was entitled. You don't demand tips, and this is how you have employees? Never getting delivery again."
"69","The food was as good as any other Panera but the tables were dirty and the bathroom was not just dirty but had graffiti in marker (which you can wipe off with some Goof Off) and this was well into the lull between lunch and dinner.  The young women behind the counter were goofing around and talking.  Someone's not managing right."
"70","If you see this Panera, KEEP DRIVING!  The service is slower than slow, and the staff is rude.  The employees are too busy socializing in clusters to work.  Complaining to managers does nothing.  I'm surprised this horrible location isn't closed yet."
"71","Terrible service!We called in an order for pick up and every single thing was wrong. No chicken on salad, cold grilled cheese, no dressing for salads, bad avocados. Terrible service and food."
"72","I do not need to say anything,check the pictures say is all!!!! I am really upset!!! This panera needs a new manager for sure!!!"
"73","I like Panera's food and I typically have a good experience there but my visit tonight was terrible.I visited at 6pm and it wasn't very busy at all. I ordered chicken soup in a bread bowl. They were out of bread bowls. OK, disappointing but I ordered a cup of soup anyway. That's all I ordered...a cup of chicken soup. And then I waited...and waited...and waited. After 20 minutes, only one person ahead of me had gotten her food order and it was clear that I wasn't getting my food anytime soon. So I returned to the register to cancel my order and ask for my money back. The kid working the register went and got a manager. More waiting. He cancelled my order and returned my money, and never spoke to me the entire time. I was in that Panera for almost 30 minutes and left without getting any food.So, to recap: no bread bowls, 20+ minute wait for soup, another wait for my money back, an unpleasant manager. Overall, terrible experience. If I could give this review zero stars, I would do."
"74","Wanted some pastries and to see that they were covered in flies/nats  I brought it to the attention of the manager Stacy and she said there was nothing she could do about it.  Notice the pics with the flies!"
"75","First off let me just say the service was slow. It took 15 minutes just to get a sandwich and a smoothie. The smoothie was horribly mixed......NOT worth $4+. Other than that the food was not bad at all."
"76","Very, very disappointing experience I had here. We walk in(me and boyfriend) and immediately you can see they only have three kinds of their bagel selection versus their normal 9-10 selection size. So we ask the employee if that's the only bagel selection they have and she replies, ""Yeah that's all we have, we ran out of everything else, we always run out."" It felt as if I should have known before I even asked that they ran out and that it was common for them to run out like this. So then we wanted to get a soup and a bagel and she recommends we get the bagel and drink so that we could add the bagel for 99 cents. We felt like we were getting some sort of deal, in reality we were not and the price still came out to be $18 including the cream cheese and everything.We realize the cashier doesn't make prices but we were definitely under the impression it'd be slightly more inexpensive to buy our items this way and it really didn't make much of a difference. Lastly, as we're waiting for our bagels, we were told they're out of both of the cream cheeses that we had asked for. Hazelnut had been discontinued, apparently, and the Hazel Walnut was out of stock. We settled for the blueberry which was still really good.Our soup was nice and hot and tasted great, on the plus side.Unfortunately, the shortage in bagels, cream cheese, and friendliness from the employees yielded this experience 2 stars. Far from my usual Panera experiences. I hope the next visit is not this way and I can change the rating."
"77","Went to cicis this past weekend and I  will no longer visit this particular location.Restrooms were nasty,the employees used to be outgoing and friendly now they act like rehearsed robots.Atmosphere has changed so much in the past month or so.The food was ok but not plentiful.I was a so pleased with my past visits but no longer now.Good bye Cicis at Ridgepark"
"78","If I could give this place zero stars I would. First, the place is disgustingly dirty. Your feet literally stick to the floor when you walk. I would love to see some sort of health inspection because there is no way it is up to code. Second, the food is below average. I've been to different locations where the food was much better. Do yourself a favor and order Pizza Hut."
"79","Not clean. Floor counters employees So much diversity in pizza choices there was none. When I ask if I could order one for the table something that usually they bring out immediately - I was told it would be a 45 minute wait. Really?"
"80","This place is actually really great if you're on a diet. You're guaranteed to see or smell something that will make you lose your appetite. Need to use the bathroom? You'll have to walk through the back hall which will either smell like a dumpster or vomit. Shame these places are so filthy. The cheesy garlic bread is actually phenomenal. And I know others who feel the same way about the cinnamon rolls."
"81","kids loved it,  pizza was great, fresh,  new stuffed crust pizza is really good !!"
"82","First off stood there 5 before anyone came so I can pay then place is dirty as bath room at Browns game pizza was worth the money but I really am not picky it's worth the money but I will not be back here again people just as dirty as the floor damm sitting here and people just drop food all over I would not tell anyone to come here"
"83","Dirtiest place in Brooklyn hands down. Makes a dumpster out back more appealing to eat out of. Tables are never cleaned, plates and silverware usually have leftover food on them. There is always pop spilled everywhere near the machine and the bathroom quite literally smells like your local dump. Staff is friendly, but I wouldn't be surprised if there aren't insects and rodents all throughout the restaurant due to huge lack of cleaning and hygiene. It's a shame they let a place get this bad, it use to never be like this."
"84","Cici's Pizza on Center Ridge Rd in Rocky River OH was horrible. We were there in 2014 and they were out of pastas and sauce.  The pizza has fake cheese and oil topping that looks like real cheese. We'll never go back. Don't waste your time and money. Sad to say but Golden Coral is better."
"85","Let me start off by saying that I know buffets all have their downfalls, but this place absolutely takes the cake.   Every table we attempted to sit at was sticky, dirty, or both. The floor near the fountain drink dispenser had ice everywhere & nobody bothered to clean it up as though it wasn't dangerous in any way. There was a worker walking around with a cart & clearing off plates. That cart looked like it was full of diseases & smelled like roadkill left under the hot sun. Also, there is nothing more appetizing than seeing boogers stuck to the window that you're sitting next to.   The food is mediocre at best. The bathroom gave me the need to shower for twice as long as I normally do, & my iron stomach finally found its kryptonite."
"86","If I'm not craving for buffet pizza, I'm not going there. This place really like a garbage restaurant, it is really dirty to dine in. Food wise is great for the price, too bad other cleaner Cici's pizza is closed."
"87","Walked in to cici's paid for our buffet and before we were even seated we noticed a rather obese man at the bar grabbing pizza with his bare hands his bare underbelly rubbing all over the bar  and his dirty clothing dragging all over the pizzas. We immediately turned around,  asked for a refund and walked out. We reported it to the management but from watching on our way out nothing was done."
"88","Let's just get this out of the way right now. This place isn't Angelo's Pizza or some place that's going to serve up some gourmet pie with unique cheeses and meats. If you're expecting a unprecedented culinary experience, don't go here.However, if you're looking to spend a little and to get a lot to eat in a fun atmosphere, this is the place to go.The manager here is exceptional. He asked us what type of pizzas we wanted him to make multiple times, and he even brought a few pieces out to the table for us. The guy's personality was infectious and jolly and he really made our eating experience a lot of fun.There are some really great pizzas here, in my opinion. The thin crust pizza is good, and so is the BBQ chicken pizza. I always have several helpings of the various types of cheesesticks too. The dessert pizzas are quite good as well. Also, it's good to get a few vegetables in the mix, so be sure to check out their green salad.Sure, there's kids everywhere and the place may not be immaculate, but it's nothing that a personal-sized bottle of hand sanitizer won't fix.I always eat way too much when I come here, so I don't come here very much. When I do, though, I've never left disappointed. Lower your expectations, open your mind, be ready to have some fun, and you won't either!"
"89","Took the kids to Cici's recently and we enjoyed the $5.00 pizza buffet.  They had some tasty pizzas and some not-so-tasty pizzas.  The stuffed crust pizzas were really good.  My favorite was the stuffed pretzel crust pizza.  It tasted good, was fresh, and had a yummy filling.  You can't beat the price.  Plus, my kids are picky, but Cici's has a pizza for every pallet. Free refills on drinks is always a good thing.We'll probably visit again."
"90","This place is actually really great if you're on a diet. You're guaranteed to see or smell something that will make you lose your appetite. Need to use the bathroom? You'll have to walk through the back hall which will either smell like a dumpster or vomit. Shame these places are so filthy. The cheesy garlic bread is actually phenomenal. And I know others who feel the same way about the cinnamon rolls."
"91","kids loved it,  pizza was great, fresh,  new stuffed crust pizza is really good !!"
"92","We decided to eat here after dropping someone off at the airport and heading back home.  The kids, for the most part, enjoyed the pizza; however, the reviews that compare this restaurant to a dumpster are not lying.  Even though the price is cheap, we still deserve a clean place to eat.  The restaurant is disturbingly disgusting.  The workers were mopping up messes, but the mop water smelled putrid. I felt so bad for taking my kids there. I will give the restaurant an extra star because the people that work there were friendly and doing their best to keep up with the throngs of people. Still, no other word but disgusting.  I made the kids take their shoes off even before getting into the car because the floor looked THAT disgusting."
"93","To be honest, I have been really a loyal fan of this sub. Both my husband and I like the grilled sandwiches here very much. But today, I have to submit a complain here. I ordered two grilled sandwiches by phone around noon. (2018-03-7 10:17am) The experience is very very unhappy. The man who answered my phone speak in a very unpolite tone which makes me feel very uncomfortable. At the beginning, I asked to order two medium grilled sandwiches. He asked me which kind. I said I want to build my own. Then he asked me again which kind? I answered I wanted to build my own sub. After that, he start to be rude in his tone and He don't ask me what kind of bread that I want, what choices do I have for the meat, vegetables,...  He just waited there and when I said I want all the vegetables except olives, he said I have to name all the vegetables that I want but do not providing me any choices!!! When I finished my order for the vegetables, he didn't ask me whether I need any source or cheese. Just told me the time that it would be ready and then hang up the phone! You can not imagine how hard his tone is and this experience make me feel do not want to eat sub or anything anymore!!! His tone when he speaked to me makes me feels like I am his enemy!A fan who loves your sub"
"94","This Dibellas sucks monkey ass literally! They can't comprehend your order correctly then have attitudes bc they fcked up! Never again ! Ain't no starts bihhh"
"95","I am disappointed in management not responding to a complaint. I ordered a vegi sub, being vegan, and told the girl I wanted every vegi. When I got gone it I rained every meat they had. I had to pitch it. Tried contacting the location and received no response back. Poor customer service the girl who made sandwich was very nice bit management needs to figure out how to deal with issues"
"96","The 1 star represents the service not the food.  Came in at 3 pm in the afternoon and nobody was in there.  Two people behind the counter socializing and didn't even acknowledge we were there until 10 minutes of standing there.  By the way we were only a foot away from them and said they would be with us soon while doing nothing.  Took our order by asking ""what do you want"".  Only ordered two subs and my wife's sub she said no olives and don't toast it in which the ignored both requests.  Took there good old time making it.Only writing this because we love the food and hope service gets better so they can last.  We know the chipotle down the street had to fire rehire everyone and start from scratch because of service issues.  Looks to be a trend."
"97","I ordered ahead on the way to a concert and the gentleman answering phones told me 10 minutes. I arrived 15 minutes later to my order not ready and ever better, not yet started. There was only one person talking orders / cooking and three others hanging by the register having a conversation. I waited to pay and 5 minutes into me waiting I interrupted to ask someone to ring me out.. Spoke to who seemed to be the manager cooking / taking openers about the wait and all she said was 'oh sorry'. I had to wait an additional 25 minutes for my food to be ready! That's 40 minutes!!  Genuinely disappointed with this location. AVOID AT ALL COSTS!!!!"
"98","I thought this place was great! I've never eaten here before but I'm a huge fan of their bagel style hoagie rolls! They were so good and make these subs a lot more filling for me. Be careful when ordering sizes and ask their staff because everything is a lot bigger than you would expect. This was very reasonably priced and the staff makes your hoagies pretty quick. I will definitely eat here again!"
"99","I love DiBella's.  Absolutely fricken love this place. I wish soooo bad that there was one closer to me so if I had a complaint that would be it. The subs here are unlike any other place you will get them. Blows subway, penn station...you know what. You can't even say those names in the same breath bc DiBella's is that much better. I have got the got the Dagwood and the godfather before and they are both just ridiculously good. I have heard good things about their cheesesteak as well and I imagine that will be my next one I try. Just move close to Cuyahoga Falls please!"
"100","Pretty. Good. Cheesteak Sub.I. Ate. The. Whole. Thing."
"101","good food , sloppy unfriendly service. I just can't recommend eating here. get it to go. staff is unsmiling, and unfriendly"
"102","I worked up to courage to give Dibella's another try after my previous disaster of a sandwich on a prior visit.  I followed my own advice and kept it simple.Small cold turkey sub on everything bread.  Loved it.The bread is so fresh and chewy.  Veggies are fresh and the turkey was plentiful.  For a sub shop it gets 4 stars, just be careful what you order.  ie Avoid the Dagwood and avoid the hot sandwiches if it involves cold cuts.  It's quick and cheap (especially if you have someone to share a sandwich with).  It's comparable to Jimmy Johns with better bread and bigger sandwiches."
"103","First time to Panda Express not the greatest would of expected better it was not what I expected 2 hour drive.    The staff was ok not the greatest, not one of them smiled. The thing I did not enjoy was how the staff did not get the customer order right. . I feel like friendly ness of the staff could be improved and better. The low main noodles was so dry with no flavor.I find it kinda strange how majority of it entree items were missing hardly of a selection to choose from. The orange chicken was spicy had a bite to it the black pepper chicken was not black pepper chicken like you find at a Chinese buffet Thanks panda I won't be back"
"104","I'm shocked this location has anything higher than a 1 star rating. The staff is the rudest I have ever encountered in the food service industry by far. I've tried on a few occasions to "" give them one more chance "" and I just can't get past the blatant attitudes and sub par food. If you want decent Chinese food, go some place else because you're not getting it here sadly."
"105","So excited to have Asian style mall food back in Parma!  I eagerly await it's opening. I went on a Sunday night and was shocked! This place is nice on the outside but it is a DUMP on the inside.  20 employees were just standing around. No one said hello to me. And the food?   There greeted me 20 scraped empty trays left in the display and a dry Lo Main  and a nasty looking orange chicken. I left I was disgusted No way for me!"
"106","If you like waiting 10 minutes to order, never being able to get what you wanted, and getting inconsistent portions this is the place for you. The food it good but the service is just awful. I just walked out because they did not have rice of any kind. Will not return to this location"
"107","I am actually sitting stuck in the drive-through here at the Parma location writing this because there is no way out once you are in the line. I stopped here thinking I could save time (HUGE MISTAKE) by hitting a drive thru since all I wanted was a SMALL fried rice to accompany the dinner I was making. Needless to say I wait in the line only to be told that they don't offer small à la carte items and then if I would like a fried rice I have to pay $7.90 for a medium or even more for a large. Can we say bullshit? If you no longer carry a size perhaps you should put something over the menu that says it is not available. Or instead of being snotty perhaps offer to provide a small amount of rice in the medium container. Needless to say I will never come back to this location."
"108","Panda Express food is AWESOME as it ever had been since I tried back in California, When I saw that they were now here in Cleveland, I jumped with Joy!! All was great! Except the employees, they are rude, they made fun of a gentleman just because he wanted more soy sauce in his plate, the girl went to her manager mocking that they did not have gravy at that location! Talk about culture shock for this girl!! Even though I really like Panda Express, I will not return to this location cause of the rude employees! Learn to appreciate your customers and  their culture!"
"109","Loved this place when it first opened! There was an Asian guy that was the manager, perhaps he was a store launcher, things were awesome but have progressively gone down hill since... We just left there & went to Steak & Shake because the Shanghai steak I always get looked like it had been sitting there 2 hours... we went at 2pm, so I get how that could have happened...I also understand it seems they're doing what they need to to save money but I don't know if I'll take my chances going there... there has to be a a better happy medium to having the food I want to order and not breaking the bank... I gladly pay the premium price & would pay extra if they use asparagus in the recipe again"
"110","So excited to have Asian style mall food back in Parma!  I eagerly await it's opening. I went on a Sunday night and was shocked! This place is nice on the outside but it is a DUMP on the inside.  20 employees were just standing around. No one said hello to me. And the food?   There greeted me 20 scraped empty trays left in the display and a dry Lo Main  and a nasty looking orange chicken. I left I was disgusted No way for me!"
"111","This is my favorite place for lunch, plenty of choices but I am always eat Orange Chicken."
"112","Yum!A bit too much cabbage in the chow meinThe fried rice is delicious (I love the soy sauce)We have eaten here several times and it has been good every time"
